1329986,03/10/2018,34,SURQUILLO,11,CHIFAS,1,H5520,BT5,0021,-12.10698891,-77.01887854,,,Miraflores,,,03/10/2018,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,29,33,29,30,29,31,30,30,32,29,30,32,30,32,30,30,31,28,31,29,32,29,33,30,562,709,625,621,661,671,529,566,611,546,586,634,559,588,517,552,526,564,640,570,605,566,583,598
1279434,03/10/2018,34,SURQUILLO,1,CASA,0,P9500,BT5,0021,-12.10788820,-77.01095925,,,Miraflores,,,03/10/2018,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,29,33,29,30,31,29,30,32,30,29,32,30,30,32,30,32,49,8,31,31,30,29,33,30,383,333.4,282.2,360.4,403.8,318.9,293.7,278.9,401.4,544.5,561.1,555.2,567.9,627.8,640,699.1,751.5,654.9,693.2,655.4,642.8,643.7,721.6,545.6
1170599,03/10/2018,43,SANTA ANITA,1,CASA,0,P9500,BT5,0021,-12.05472777,-76.98157383,,,Santa Anita,,,03/10/2018,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,*,N,N,N,N,N,N,N,N,N,31,30,29,33,29,29,30,32,30,31,30,30,32,30,29,33,29,28,32,30,30,31,31,32,120.8,324.2,147,570.9,143.6,475.4,63.6,394.8,78.5,415.5,171.1,443,309,555.1,313,1154.9,373,363.2,417.3,312.1,313.7,274.4,337.6,280.9
834958,03/10/2018,43,SANTA ANITA,1,CASA,0,P9500,BT5,0021,-12.04459278,-76.97687901,,,Santa Anita,,,03/10/2018,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,31,30,29,33,29,29,30,32,30,31,30,30,32,30,29,33,29,28,32,30,30,31,31,32,193.6,187.2,194.3,239.7,237.2,241.9,244.6,238.7,218.4,199.4,248.3,246.2,292.7,506.1,526.6,604.1,526.3,523.8,534.2,477.8,504,539.8,467.4,423.8
1197888,03/10/2018,43,SANTA ANITA,1,CASA,0,P9500,BT5,0021,-12.04220773,-76.96393261,,,Santa Anita,,,03/10/2018,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,29,30,29,33,29,29,31,31,32,29,30,32,30,51,10,31,29,28,32,30,32,29,31,32,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,115.7,355.7,362.9,397.8,397.3,418.7,387.2,355,420.2,427.3
637481,03/10/2018,43,SANTA ANITA,1,CASA,0,P9500,BT5,0021,-12.05027107,-76.97205517,,,Santa Anita,,,03/10/2018,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,29,30,29,33,29,29,31,31,32,29,30,32,30,30,31,31,29,28,32,30,32,29,31,32,1087,1106.8,1139.4,807.8,563.6,547.6,603.1,634.7,825.3,858.1,777.5,740.5,658.4,580,1213.6,1253.4,1111.3,962.6,926.7,784.8,818,886.7,891.4,1964.3
1598939,03/10/2018,30,SAN LUIS,2,DEPARTAMENTO,0,P9500,BT5,0021,-12.07056155,-76.99523366,,,Santa Anita,,,03/10/2018,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,*,N,N,N,N,N,29,30,31,31,29,31,29,31,32,29,30,32,30,32,29,31,31,28,30,30,32,29,33,30,70.3,66.3,63.6,31.7,0,0,0,0,0,0,0,109.7,103.6,147.2,125.9,128.6,132.9,121.2,126,285.6,143.4,129.7,140.8,120.2
1159721,03/10/2018,43,SANTA ANITA,1,CASA,0,P9500,BT5,0021,-12.03031344,-76.95212475,,,Santa Anita,,,03/10/2018,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,29,32,29,33,29,29,29,33,30,29,32,30,32,30,29,33,29,28,30,32,30,29,33,30,272.7,300.3,296.2,333.9,343.7,331.2,280.8,454.5,355.5,327.8,364.7,590.3,623.6,610.3,568.2,734,568.5,730.9,700,695.4,666.5,461.1,667.6,596.4
467828,03/10/2018,10,EL AGUSTINO,1,CASA,0,P9500,BT5,0021,-12.06127213,-77.00137982,,,Santa Anita,,,03/10/2018,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,29,30,32,30,29,29,31,31,32,29,30,32,30,30,32,30,29,28,32,30,32,29,31,32,330.1,328.3,342.5,374.1,325,346.3,319.3,297.9,283.3,308.6,318.2,290.4,470.7,602.5,601.7,586.7,601.4,572.7,620.2,617.6,628,554.8,424.3,430
394145,03/10/2018,03,ATE-VITARTE,1,CASA,0,P9500,BT5,0021,-12.06047728,-76.99243301,,,Santa Anita,,,03/10/2018,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,29,30,32,30,29,29,31,31,32,29,30,32,30,30,32,30,29,28,32,30,32,29,31,32,136.3,132.7,113,117.8,136.4,134.4,158.8,154.4,187.3,173.6,141.5,129.9,233.9,303.4,312.3,288.2,325.8,330,365,284,383.3,197.1,245.7,241.3
